Date,Time,Ch1:Deg F
09/09/2018,22:59:19,71.250
09/09/2018,22:59:29,71.210
09/09/2018,22:59:39,71.210
09/09/2018,22:59:49,71.250
09/09/2018,22:59:59,71.250
09/09/2018,23:00:09,71.250
09/09/2018,23:00:19,71.250
09/09/2018,23:00:29,71.250
09/09/2018,23:00:39,71.290
09/09/2018,23:00:49,71.250
09/09/2018,23:00:59,71.250
09/09/2018,23:01:09,71.250
09/09/2018,23:01:19,71.250
09/09/2018,23:01:29,71.250
09/09/2018,23:01:39,71.250
09/09/2018,23:01:49,71.250
09/09/2018,23:01:59,71.290
09/09/2018,23:02:09,71.290
09/09/2018,23:02:19,71.290
09/09/2018,23:02:29,71.290
09/09/2018,23:02:39,71.290
09/09/2018,23:02:49,71.290
09/09/2018,23:02:59,71.290
09/09/2018,23:03:09,71.290
09/09/2018,23:03:19,71.290
09/09/2018,23:03:29,71.250
09/09/2018,23:03:39,71.250
09/09/2018,23:03:49,71.250
09/09/2018,23:03:59,71.290
09/09/2018,23:04:09,71.250
09/09/2018,23:04:19,71.250
09/09/2018,23:04:29,71.250
09/09/2018,23:04:39,71.250
09/09/2018,23:04:49,71.250
09/09/2018,23:04:59,71.290
09/09/2018,23:05:09,71.290
09/09/2018,23:05:19,71.290
09/09/2018,23:05:29,71.290
09/09/2018,23:05:39,71.290
09/09/2018,23:05:49,71.290
09/09/2018,23:05:59,71.290
09/09/2018,23:06:09,71.290
09/09/2018,23:06:19,71.290
09/09/2018,23:06:29,71.290
09/09/2018,23:06:39,71.290
09/09/2018,23:06:49,71.290
09/09/2018,23:06:59,71.290
09/09/2018,23:07:09,71.250
09/09/2018,23:07:19,71.250
09/09/2018,23:07:29,71.210
09/09/2018,23:07:39,71.250
09/09/2018,23:07:49,71.290
09/09/2018,23:07:59,71.290
09/09/2018,23:08:09,71.329
09/09/2018,23:08:19,71.329
09/09/2018,23:08:29,71.290
09/09/2018,23:08:39,71.329
09/09/2018,23:08:49,71.329
09/09/2018,23:08:59,71.329
09/09/2018,23:09:09,71.329
09/09/2018,23:09:19,71.329
09/09/2018,23:09:29,71.329
09/09/2018,23:09:39,71.329
09/09/2018,23:09:49,71.329
09/09/2018,23:09:59,71.329
09/09/2018,23:10:09,71.329
09/09/2018,23:10:19,71.290
09/09/2018,23:10:29,71.290
09/09/2018,23:10:39,71.290
09/09/2018,23:10:49,71.290
09/09/2018,23:10:59,71.290
09/09/2018,23:11:09,71.290
09/09/2018,23:11:19,71.290
09/09/2018,23:11:29,71.250
09/09/2018,23:11:39,71.250
09/09/2018,23:11:49,71.250
09/09/2018,23:11:59,71.250
09/09/2018,23:12:09,71.250
09/09/2018,23:12:19,71.250
09/09/2018,23:12:29,71.250
09/09/2018,23:12:39,71.250
09/09/2018,23:12:49,71.250
09/09/2018,23:12:59,71.210
09/09/2018,23:13:09,71.170
09/09/2018,23:13:19,71.210
09/09/2018,23:13:29,71.290
09/09/2018,23:13:39,71.290
09/09/2018,23:13:49,71.329
09/09/2018,23:13:59,71.290
09/09/2018,23:14:09,71.329
09/09/2018,23:14:19,71.290
09/09/2018,23:14:29,71.290
09/09/2018,23:14:39,71.290
09/09/2018,23:14:49,71.329
09/09/2018,23:14:59,71.329
09/09/2018,23:15:09,71.329
09/09/2018,23:15:19,71.329
09/09/2018,23:15:29,71.250
09/09/2018,23:15:39,71.290
09/09/2018,23:15:49,71.250
09/09/2018,23:15:59,71.250
09/09/2018,23:16:09,71.290
09/09/2018,23:16:19,71.170
09/09/2018,23:16:29,71.210
09/09/2018,23:16:39,71.210
09/09/2018,23:16:49,71.250
09/09/2018,23:16:59,71.250
09/09/2018,23:17:09,71.250
09/09/2018,23:17:19,71.369
09/09/2018,23:17:29,71.290
09/09/2018,23:17:39,71.329
09/09/2018,23:17:49,71.329
09/09/2018,23:17:59,71.329
09/09/2018,23:18:09,71.290
09/09/2018,23:18:19,71.329
09/09/2018,23:18:29,71.250
09/09/2018,23:18:39,71.290
09/09/2018,23:18:49,71.250
09/09/2018,23:18:59,71.290
09/09/2018,23:19:09,71.329
09/09/2018,23:19:19,71.250
09/09/2018,23:19:29,71.250
09/09/2018,23:19:39,71.250
09/09/2018,23:19:49,71.250
09/09/2018,23:19:59,71.170
09/09/2018,23:20:09,71.250
09/09/2018,23:20:19,71.170
09/09/2018,23:20:29,71.290
09/09/2018,23:20:39,71.290
09/09/2018,23:20:49,71.290
09/09/2018,23:20:59,71.250
09/09/2018,23:21:09,71.210
09/09/2018,23:21:19,71.250
09/09/2018,23:21:29,71.170
09/09/2018,23:21:39,71.210
09/09/2018,23:21:49,71.210
09/09/2018,23:21:59,71.090
09/09/2018,23:22:09,71.210
09/09/2018,23:22:19,71.170
09/09/2018,23:22:29,71.210
09/09/2018,23:22:39,71.250
09/09/2018,23:22:49,71.329
09/09/2018,23:22:59,71.250
09/09/2018,23:23:09,71.210
09/09/2018,23:23:19,71.250
09/09/2018,23:23:29,71.290
09/09/2018,23:23:39,71.290
09/09/2018,23:23:49,71.290
09/09/2018,23:23:59,71.290
09/09/2018,23:24:09,71.250
09/09/2018,23:24:19,71.290
09/09/2018,23:24:29,71.290
09/09/2018,23:24:39,71.290
09/09/2018,23:24:49,71.290
09/09/2018,23:24:59,71.250
09/09/2018,23:25:09,71.210
09/09/2018,23:25:19,71.250
09/09/2018,23:25:29,71.250
09/09/2018,23:25:39,71.210
